X,Y,cell_id,cell_labels,ROI,image,MPO,HistoneH3,SMA,CD16,CD38,HLADR,CD27,CD15,CD45RA,CD163,B2M,CD20,CD68,Ido1,CD3,LAG3,CD11c,PD1,PDGFRb,CD7,GrzB,PDL1,TCF7,CD45RO,FOXP3,ICOS,CD8a,CarbonicAnhydrase,CD33,Ki67,VISTA,CD40,CD4,CD14,Ecad,CD303,CD206,cleavedPARP,DNA1,DNA2
565.7894736842105,93.36842105263158,62725,CD8,2,IMMUcan_Batch20210506_10037407-GI-VAR-TIS-01-IMC-01_002.tiff,0.1572459174903755,2.847463096869743,0.6486630679213279,0.1465672144628845,0.18913985902926742,0.9199186232999474,0.5191784099599432,1.427494374753531,0.1344222828210652,0.11263884789511588,1.7213615402801545,0.11687668662620053,0.9559068475189314,0.8004440541414317,2.710513460106285,0.22679147973618705,0.26194328297726743,0.552876674266035,1.140738200817349,2.2112716285117244,0.7878156260109259,0.4063864909438706,1.0649927454352721,3.3174294038395984,0.002913862907165229,0.5014429877877747,3.765218163489214,1.4079231358848794,0.8108719857600607,0.0965606377758562,0.7463209515305128,0.5458578633664658,1.214126443284727,1.8326874942638338,1.1049606575021595,0.6743378078314997,0.1769556196028282,0.13205769029569553,4.609829599121509,5.167970347570754
535.816091954023,94.3103448275862,62726,CD4,2,IMMUcan_Batch20210506_10037407-GI-VAR-TIS-01-IMC-01_002.tiff,0.32531466463016395,2.7745723000318203,0.2520984459955061,0.9979306569482869,0.032981694495712276,3.029169909297897,0.6908314108540794,1.161824980358503,0.2538058679169322,1.4259407209985413,1.672888642603148,0.2179594280304898,2.9545362951113203,1.305772925396777,3.1779606949069072,0.2310988566527222,0.4949911040097494,1.1317727326517328,0.734692355430371,2.1629487196572903,2.259448549614274,0.38378367534182745,0.3814686944008043,3.4838461752305308,0.19282964398267802,1.1374512517586466,0.16554404092635638,1.500653416840692,1.568827487729323,0.14113049944322703,0.47308117996549987,0.8189912889172477,2.573198841262328,2.004779164101557,0.8938328354075467,0.8128488851867632,2.123243483637219,0.08865714688159676,4.159733318639824,4.676010932211151
340.36893203883494,95.92233009708738,62727,CD4,2,IMMUcan_Batch20210506_10037407-GI-VAR-TIS-01-IMC-01_002.tiff,0.2622068222639629,2.3970176238408216,0.7311847849572306,0.8133247502740515,0.24051860810917275,2.2048980690215605,1.1473533382540417,1.3168520768768603,0.23074740039104333,0.7199172332730076,1.8260383864937408,0.3307727814934447,1.7442213672905165,1.1207714457926827,2.5238943816302113,0.2293327108920138,0.4133781910029877,0.9003250106027741,1.1418869164832994,2.7876751736389584,0.8528899274816854,0.5028767773446365,0.9957452650047955,3.7324441758797033,0.9130342709003612,0.46457030603194405,0.3390604879649892,1.668154286195198,1.5120932864513805,0.16501687627994327,0.5737777270449883,0.5545691596574436,2.944923852747602,1.7152838345871426,1.1260485513676848,0.8353264074339544,1.3747756586711413,0.06326964215672898,4.88357788136926,5.420314668209823
595.3763440860215,94.72043010752688,62728,HLADR,2,IMMUcan_Batch20210506_10037407-GI-VAR-TIS-01-IMC-01_002.tiff,0.25490953476781913,3.0558857698182593,0.6847419069178942,1.0923411892506005,0.6093113336191903,2.8498131020641466,0.5802316777747938,3.68070192437682,0.4494797809527887,0.46378341503386444,1.3613581602171165,0.5827244568711746,1.559223249851565,1.5759142397468173,0.823216016370925,0.5199263593392005,1.2857054011678701,0.7866711153601786,2.052994614182551,0.7882765162470752,1.4529020757086097,0.6618173738569767,1.042735588830104,2.277559072580381,0.7135834259304121,0.8278098010835248,0.6339308746013987,2.629195364293297,2.6150527469581486,1.3766098697915814,0.5376605471208824,0.806330184209051,1.5552915598496668,2.030802001919796,4.145789724629688,1.0145195949619252,0.6583128394134634,0.04733189231112015,4.607221334926979,5.178373422536982
103.88888888888889,97.26666666666668,62729,Neutrophil,2,IMMUcan_Batch20210506_10037407-GI-VAR-TIS-01-IMC-01_002.tiff,1.88239668766867,2.2474792308657463,0.17685830725956103,0.20344547923420167,0.1529493182068211,0.3727756568586414,1.8715172094295185,4.054598284542189,0.3186597603440318,0.1364202041113652,1.8037402409268932,0.5303320916073316,1.8253621909752822,1.8986403525238102,0.5410229804861684,0.6911536173330376,0.9889052128529932,0.52784261656573,1.5530204163323311,0.5716544828491436,1.1411449420229223,1.4026203067305758,0.5937998452153287,1.1253637492102468,0.44903153582949107,0.5614935820039408,0.4917186639405926,3.085766155456207,0.5352192265833019,0.29617726349393364,0.39181860718060235,0.5297175723833765,1.5874306913992309,1.4326955580933611,1.6732191656939637,2.3049746093706105,0.8459066674765477,0.24314943290121688,2.4548222816925276,3.0047136784412087
347.5,96.8,62730,MacCD163,2,IMMUcan_Batch20210506_10037407-GI-VAR-TIS-01-IMC-01_002.tiff,0.09983407889920898,2.47216955365484,0.0,2.0385609654919326,0.11706660543755085,3.7882680853385744,0.396169849173254,0.6942394594427946,0.24245595280010762,1.559090015690928,1.5379266108013125,0.1884086942433223,2.930405460881923,1.2087499777988524,1.0501346457741554,0.28651096609331417,1.5631678225565149,0.9424449386621679,1.3077445420922207,1.0868485917123234,0.9800787422786681,0.3652939404558289,0.9032240365233146,2.1891627129984523,0.14138531613928076,0.5702172995199504,0.0965027035389498,1.4569817054188345,1.7467425416490685,0.08910577583543154,0.09791306042051617,1.298112419953858,1.9744435907079971,2.2924206050940077,1.211950752960261,0.7172031612651156,0.9514335646178541,0.0,3.551508835799637,3.9567472951855014
456.4390243902439,97.29268292682929,62731,MacCD163,2,IMMUcan_Batch20210506_10037407-GI-VAR-TIS-01-IMC-01_002.tiff,0.16991295020974426,1.7764450505551972,0.34428325932145215,1.5074079547038621,0.0,3.819564932051935,0.8160347300209716,0.7029588807145535,0.257756214452574,1.6549468020185283,0.74877775231681,0.2571811206629258,2.3742332176713066,0.5663186064351917,0.3265996934545058,0.1534888333040043,0.7841084931993892,0.24858573636055276,0.716338607072008,0.19032325192496577,0.7895003590622062,0.31007212825910624,0.2779412482591912,2.55531258662594,0.0,0.15171745017898283,0.198493416543027,1.8982832066379662,1.688734433638176,0.01450642816071205,0.40261333533798005,1.0380108361437814,1.5640210198015758,2.2120368376333523,3.0393034758255513,0.34617927036829843,2.0062866421214336,0.12951984393476565,4.2287543857061545,4.8688373507087785
