"Round 1","Round 2","Round 3","Round 4","Cell type number","Final cell type","X","Y","CD31...vasculature.Cyc_19_ch_3","CD34...vasculature.Cyc_20_ch_3","Cytokeratin...epithelia.Cyc_10_ch_2","aSMA...smooth.muscle.Cyc_11_ch_2","Podoplanin...lymphatics.Cyc_19_ch_4","CD45...hematopoietic.cells.Cyc_4_ch_2","CD15...granulocytes.Cyc_14_ch_2","CD3...T.cells.Cyc_16_ch_4","CD20...B.cells.Cyc_8_ch_3","CD11c...DCs.Cyc_12_ch_3","CD163...macrophages.Cyc_17_ch_3","CD68...macrophages.Cyc_18_ch_4","CD38...multifunctional.Cyc_20_ch_4","CD56...NK.cells.Cyc_10_ch_4","CD8...cytotoxic.T.cells.Cyc_3_ch_2","CD4...T.helper.cells.Cyc_6_ch_3","CD45RO...memory.cells.Cyc_18_ch_3","FOXP3...regulatory.T.cells.Cyc_2_ch_3"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","249","786","12.44870186","990.5114136","0.195214927","422.649231","301.3339844","669.1448364","0.709492087","283.7284546","0","297.3692627","3002.727051","2387.055664","369.6599426","802.5583496","584.4841309","898.6688232","11598.5127","355.3747253"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","264","402","35.88634872","190.39711","0.604498446","0","72.54457092","0","1048.420654","1181.220337","0.015821908","283.6509705","642.2203369","790.5500488","1320.312378","640.6601563","144.0495605","1044.620361","6763.44873","549.4224854"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","270","276","0","76.49465942","0.298932374","102.1613312","88.4045105","5.824436665","130.7829132","287.0628662","0","111.6132889","191.1304932","1469.015381","542.1209717","1304.677368","405.5338135","372.9561157","3351.626221","263.5741272"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","260","610","32.9924202","33.86421585","0","721.0391846","63.05714798","7.417722225","5.854390144","55.72302628","0","132.8142548","266.3023682","152.4981689","2432.405518","291.2749023","63.123703","0","463.1808777","398.8599548"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","285","614","0","32.14639282","0.421384692","582.088623","84.86322784","179.948822","488.8305664","292.1602783","1.264764547","0","0","1086.890137","0","1211.195557","223.0772858","351.539093","7916.416992","0"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","290","250","4.333557606","177.1405487","0.045057163","126.9804993","237.1667786","25.44317436","1727.525269","235.5030212","0","125.1876297","488.6408997","1922.279785","424.6072693","1375.176147","1541.193726","375.1217346","7383.047852","568.6697998"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","299","455","0","16.07880402","0.687449872","249.8400574","97.16349792","32.10280228","2184.161621","113.7897797","0","14.97851467","59.60000229","2113.17041","2002.646851","811.5576172","530.2832642","0","899.925415","114.3053741"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","302","410","0","0","0","1066.389038","37.16596222","0","905.3175659","0","0.004810975","0.808059692","2.027275085","1437.188965","0","649.8884277","422.7329712","0","1164.345215","131.5891724"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","309","241","17.60291672","31.05976295","40.99685669","16.63399506","127.465065","1024.308228","247.6427307","150.4750214","0","504.4263916","506.7344971","4298.779785","282.5783386","1113.608643","557.8741455","408.723175","5904.148926","425.3409424"
"immune cells","NK cells","Unknown","Unknown","12","NK cells","325","238","11.61036587","0","73.630867","0","35.59636688","328.3132019","73.73688507","103.7196121","0.00023","249.3347626","190.8372955","1640.762451","254.8410187","1198.160889","404.8049316","630.9050293","3248.064697","212.6685638"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","322","458","361.5071716","224.9997864","40.50924301","581.9977417","94.81221771","0","2213.492676","111.8332214","0","84.9805603","261.3273926","1896.989502","2845.297607","826.4663086","704.4674683","74.82815552","925.0903931","236.2744141"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","331","246","0.776639044","55.3290062","88.4575882","18.72462463","53.95806503","0","337.0053101","206.6193085","6.29e-05","251.5757141","499.0654297","1404.975708","449.6718445","1178.448242","741.5396118","116.0235214","4352.240234","578.9472656"
"immune cells","NK cells","Unknown","Unknown","12","NK cells","334","234","0","0","0","0","18.9053154","57.16271591","0","82.40341949","0","29.71908188","0","823.7926636","345.9526367","983.5834961","0","194.0031586","4501.526855","114.9093475"
